G;Date;Dom_Ext;Opponent;WinLose;Prolong;Tm;Opp;W;L;Streak
61;5/3/2013;@;Oklahoma City Thunder;L;;105;122;30;31;L 1
62;6/3/2013;@;New Orleans Hornets;W;;108;102;31;31;W 1
63;8/3/2013;;Toronto Raptors;W;OT;118;116;32;31;W 2
64; 10/3/2013;;Chicago Bulls;W;;90;81;33;31;W 3
65; 12/3/2013;@;Orlando Magic;W;;106;97;34;31;W 4
66; 13/3/2013;@;Atlanta Hawks;L;;92;96;34;32;L 1
67; 15/3/2013;@;Indiana Pacers;W;;99;93;35;32;W 1
68; 17/3/2013;;Sacramento Kings;W;;113;102;36;32;W 2
69; 18/3/2013;@;Phoenix Suns;L;;76;99;36;33;L 1
70; 22/3/2013;;Washington Wizards;L;;100;103;36;34;L 2
71; 25/3/2013;@;Golden State Warriors;L;;103;109;36;35;L 3
72; 27/3/2013;@;Minnesota Timberwolves;W;;120;117;37;35;W 1
73; 28/3/2013;@;Milwaukee Bucks;L;;103;113;37;36;L 1
74; 30/3/2013;@;Sacramento Kings;W;;103;98;38;36;W 1
75;2/4/2013;;Dallas Mavericks;W;;101;81;39;36;W 2
76;5/4/2013;;Memphis Grizzlies;W;;86;84;40;36;W 3
77;7/4/2013;@;Los Angeles Clippers;L;;95;109;40;37;L 1
78;9/4/2013;;New Orleans Hornets;W;;104;96;41;37;W 1
79; 10/4/2013;@;Portland Trail Blazers;W;;113;106;42;37;W 2
80; 12/4/2013;;Golden State Warriors;W;;118;116;43;37;W 3
81; 14/4/2013;;San Antonio Spurs;W;;91;86;44;37;W 4
82; 17/4/2013;;Houston Rockets;W;OT;99;95;45;37;W 5
1; 29/10/2013;;Los Angeles Clippers;W;;116;103;1;0;W 1
2; 30/10/2013;@;Golden State Warriors;L;;94;125;1;1;L 1
3;1/11/2013;;San Antonio Spurs;L;;85;91;1;2;L 2
4;3/11/2013;;Atlanta Hawks;W;;105;103;2;2;W 1
5;5/11/2013;@;Dallas Mavericks;L;;104;123;2;3;L 1
6;7/11/2013;@;Houston Rockets;W;;99;98;3;3;W 1
7;8/11/2013;@;New Orleans Pelicans;L;;85;96;3;4;L 1
8; 10/11/2013;;Minnesota Timberwolves;L;;90;113;3;5;L 2
9; 12/11/2013;;New Orleans Pelicans;W;;116;95;4;5;W 1
10; 13/11/2013;@;Denver Nuggets;L;;99;111;4;6;L 1
11; 15/11/2013;;Memphis Grizzlies;L;;86;89;4;7;L 2
12; 17/11/2013;;Detroit Pistons;W;;114;99;5;7;W 1
13; 22/11/2013;;Golden State Warriors;W;;102;95;6;7;W 2
14; 24/11/2013;;Sacramento Kings;W;;100;86;7;7;W 3
15; 26/11/2013;@;Washington Wizards;L;;111;116;7;8;L 1
16; 27/11/2013;@;Brooklyn Nets;W;;99;94;8;8;W 1
17; 29/11/2013;@;Detroit Pistons;W;;106;102;9;8;W 2
18;1/12/2013;;Portland Trail Blazers;L;;108;114;9;9;L 1
19;6/12/2013;@;Sacramento Kings;W;;106;100;10;9;W 1
20;8/12/2013;;Toronto Raptors;L;;94;106;10;10;L 1
21; 10/12/2013;;Phoenix Suns;L;;108;114;10;11;L 2
22; 13/12/2013;@;Oklahoma City Thunder;L;;97;122;10;12;L 3
23; 14/12/2013;@;Charlotte Bobcats;W;;88;85;11;12;W 1
24; 16/12/2013;@;Atlanta Hawks;L;;100;114;11;13;L 1
25; 17/12/2013;@;Memphis Grizzlies;W;;96;92;12;13;W 1
26; 20/12/2013;;Minnesota Timberwolves;W;;104;91;13;13;W 2
27; 21/12/2013;@;Golden State Warriors;L;;83;102;13;14;L 1
28; 23/12/2013;@;Phoenix Suns;L;;90;117;13;15;L 2
29; 25/12/2013;;Miami Heat;L;;95;101;13;16;L 3
30; 27/12/2013;@;Utah Jazz;L;;103;105;13;17;L 4
31; 29/12/2013;;Philadelphia 76ers;L;;104;111;13;18;L 5
32; 31/12/2013;;Milwaukee Bucks;L;;79;94;13;19;L 6
33;3/1/2014;;Utah Jazz;W;;110;99;14;19;W 1
34;5/1/2014;;Denver Nuggets;L;;115;137;14;20;L 1
35;7/1/2014;@;Dallas Mavericks;L;;97;110;14;21;L 2
36;8/1/2014;@;Houston Rockets;L;;99;113;14;22;L 3
37; 10/1/2014;@;Los Angeles Clippers;L;;87;123;14;23;L 4
38; 14/1/2014;;Cleveland Cavaliers;L;;118;120;14;24;L 5
39; 15/1/2014;@;Phoenix Suns;L;;114;121;14;25;L 6
40; 17/1/2014;@;Boston Celtics;W;;107;104;15;25;W 1
41; 19/1/2014;@;Toronto Raptors;W;;112;106;16;25;W 2
42; 20/1/2014;@;Chicago Bulls;L;OT;100;102;16;26;L 1
43; 23/1/2014;@;Miami Heat;L;;102;109;16;27;L 2
44; 24/1/2014;@;Orlando Magic;L;;105;114;16;28;L 3
45; 26/1/2014;@;New York Knicks;L;;103;110;16;29;L 4
46; 28/1/2014;;Indiana Pacers;L;;92;104;16;30;L 5
47; 31/1/2014;;Charlotte Bobcats;L;;100;110;16;31;L 6
48;4/2/2014;@;Minnesota Timberwolves;L;;99;109;16;32;L 7
49;5/2/2014;@;Cleveland Cavaliers;W;;119;108;17;32;W 1
50;7/2/2014;@;Philadelphia 76ers;W;;112;98;18;32;W 2
51;9/2/2014;;Chicago Bulls;L;;86;92;18;33;L 1
52; 11/2/2014;;Utah Jazz;L;;79;96;18;34;L 2
53; 13/2/2014;;Oklahoma City Thunder;L;;103;107;18;35;L 3
54; 19/2/2014;;Houston Rockets;L;;108;134;18;36;L 4
55; 21/2/2014;;Boston Celtics;W;;101;92;19;36;W 1
56; 23/2/2014;;Brooklyn Nets;L;;102;108;19;37;L 1
57; 25/2/2014;@;Indiana Pacers;L;;98;118;19;38;L 2
58; 26/2/2014;@;Memphis Grizzlies;L;;103;108;19;39;L 3
59; 28/2/2014;;Sacramento Kings;W;;126;122;20;39;W 1
60;3/3/2014;@;Portland Trail Blazers;W;;107;106;21;39;W 2
61;4/3/2014;;New Orleans Pelicans;L;;125;132;21;40;L 1
62;6/3/2014;;Los Angeles Clippers;L;;94;142;21;41;L 2
63;7/3/2014;@;Denver Nuggets;L;;126;134;21;42;L 3
64;9/3/2014;;Oklahoma City Thunder;W;;114;110;22;42;W 1
65; 13/3/2014;@;Oklahoma City Thunder;L;;102;131;22;43;L 1
66; 14/3/2014;@;San Antonio Spurs;L;;85;119;22;44;L 2
67; 19/3/2014;;San Antonio Spurs;L;;109;125;22;45;L 3
68; 21/3/2014;;Washington Wizards;L;;107;117;22;46;L 4
69; 23/3/2014;;Orlando Magic;W;;103;94;23;46;W 1
70; 25/3/2014;;New York Knicks;W;;127;96;24;46;W 2
71; 27/3/2014;@;Milwaukee Bucks;L;;105;108;24;47;L 1
72; 28/3/2014;@;Minnesota Timberwolves;L;;107;143;24;48;L 2
73; 30/3/2014;;Phoenix Suns;W;;115;99;25;48;W 1
74;1/4/2014;;Portland Trail Blazers;L;;112;124;25;49;L 1
75;2/4/2014;@;Sacramento Kings;L;;102;107;25;50;L 2
76;4/4/2014;;Dallas Mavericks;L;;95;107;25;51;L 3
77;6/4/2014;@;Los Angeles Clippers;L;;97;120;25;52;L 4
78;8/4/2014;;Houston Rockets;L;;130;145;25;53;L 5
79; 11/4/2014;;Golden State Warriors;L;;95;112;25;54;L 6
80; 13/4/2014;;Memphis Grizzlies;L;;90;102;25;55;L 7
81; 14/4/2014;@;Utah Jazz;W;;119;104;26;55;W 1
82; 16/4/2014;@;San Antonio Spurs;W;;113;100;27;55;W 2
1; 28/10/2014;;Houston Rockets;L;;90;108;0;1;L 1
2; 29/10/2014;@;Phoenix Suns;L;;99;119;0;2;L 2
3; 31/10/2014;;Los Angeles Clippers;L;;111;118;0;3;L 3
4;1/11/2014;@;Golden State Warriors;L;;104;127;0;4;L 4
5;4/11/2014;;Phoenix Suns;L;;106;112;0;5;L 5
6;9/11/2014;;Charlotte Hornets;W;;107;92;1;5;W 1
7; 11/11/2014;@;Memphis Grizzlies;L;;102;107;1;6;L 1
8; 12/11/2014;@;New Orleans Pelicans;L;;102;109;1;7;L 2
9; 14/11/2014;;San Antonio Spurs;L;;80;93;1;8;L 3
10; 16/11/2014;;Golden State Warriors;L;;115;136;1;9;L 4
11; 18/11/2014;@;Atlanta Hawks;W;;114;109;2;9;W 1
12; 19/11/2014;@;Houston Rockets;W;;98;92;3;9;W 2
13; 21/11/2014;@;Dallas Mavericks;L;;106;140;3;10;L 1
14; 23/11/2014;;Denver Nuggets;L;OT;94;101;3;11;L 2
15; 26/11/2014;;Memphis Grizzlies;L;;93;99;3;12;L 3
16; 28/11/2014;;Minnesota Timberwolves;L;;119;120;3;13;L 4
17; 30/11/2014;;Toronto Raptors;W;OT;129;122;4;13;W 1
18;2/12/2014;@;Detroit Pistons;W;;106;96;5;13;W 2
19;3/12/2014;@;Washington Wizards;L;;95;111;5;14;L 1
20;5/12/2014;@;Boston Celtics;L;;96;113;5;15;L 2
21;7/12/2014;;New Orleans Pelicans;L;;87;104;5;16;L 3
22;9/12/2014;;Sacramento Kings;W;;98;95;6;16;W 1
23; 12/12/2014;@;San Antonio Spurs;W;OT;112;110;7;16;W 2
24; 14/12/2014;@;Minnesota Timberwolves;W;;100;94;8;16;W 3
25; 15/12/2014;@;Indiana Pacers;L;;91;110;8;17;L 1
26; 19/12/2014;;Oklahoma City Thunder;L;;103;104;8;18;L 2
27; 21/12/2014;@;Sacramento Kings;L;;101;108;8;19;L 3
28; 23/12/2014;;Golden State Warriors;W;;115;105;9;19;W 1
29; 25/12/2014;@;Chicago Bulls;L;;93;113;9;20;L 1
30; 26/12/2014;@;Dallas Mavericks;L;;98;102;9;21;L 2
31; 28/12/2014;;Phoenix Suns;L;;107;116;9;22;L 3
32; 30/12/2014;@;Denver Nuggets;W;;111;103;10;22;W 1
33;2/1/2015;;Memphis Grizzlies;L;;106;109;10;23;L 1
34;4/1/2015;;Indiana Pacers;W;;88;87;11;23;W 1
35;5/1/2015;@;Portland Trail Blazers;L;;94;98;11;24;L 1
36;7/1/2015;@;Los Angeles Clippers;L;;89;114;11;25;L 2
37;9/1/2015;;Orlando Magic;W;;101;84;12;25;W 1
38; 11/1/2015;;Portland Trail Blazers;L;;94;106;12;26;L 1
39; 13/1/2015;;Miami Heat;L;;75;78;12;27;L 2
40; 15/1/2015;;Cleveland Cavaliers;L;;102;109;12;28;L 3
41; 16/1/2015;@;Utah Jazz;L;;85;94;12;29;L 4
42; 19/1/2015;@;Phoenix Suns;L;;100;115;12;30;L 5
43; 21/1/2015;@;New Orleans Pelicans;L;;80;96;12;31;L 6
44; 23/1/2015;@;San Antonio Spurs;L;;85;99;12;32;L 7
45; 25/1/2015;;Houston Rockets;L;;87;99;12;33;L 8
46; 27/1/2015;;Washington Wizards;L;;92;98;12;34;L 9
47; 29/1/2015;;Chicago Bulls;W;2OT;123;118;13;34;W 1
48;1/2/2015;@;New York Knicks;L;;80;92;13;35;L 1
49;4/2/2015;@;Milwaukee Bucks;L;OT;105;113;13;36;L 2
50;6/2/2015;@;Orlando Magic;L;OT;97;103;13;37;L 3
51;8/2/2015;@;Cleveland Cavaliers;L;;105;120;13;38;L 4
52; 10/2/2015;;Denver Nuggets;L;;96;106;13;39;L 5
53; 11/2/2015;@;Portland Trail Blazers;L;;86;102;13;40;L 6
54; 20/2/2015;;Brooklyn Nets;L;;105;114;13;41;L 7
55; 22/2/2015;;Boston Celtics;W;OT;118;111;14;41;W 1
56; 25/2/2015;@;Utah Jazz;W;;100;97;15;41;W 2
57; 27/2/2015;;Milwaukee Bucks;W;;101;93;16;41;W 3
58;1/3/2015;;Oklahoma City Thunder;L;;101;108;16;42;L 1
59;3/3/2015;@;Charlotte Hornets;L;;103;104;16;43;L 2
60;4/3/2015;@;Miami Heat;L;;94;100;16;44;L 3
61;6/3/2015;@;Memphis Grizzlies;L;;90;97;16;45;L 4
62;8/3/2015;;Dallas Mavericks;L;;93;100;16;46;L 5
63; 10/3/2015;;Detroit Pistons;W;;93;85;17;46;W 1
64; 12/3/2015;;New York Knicks;L;;94;101;17;47;L 1
65; 15/3/2015;;Atlanta Hawks;L;;86;91;17;48;L 2
66; 16/3/2015;@;Golden State Warriors;L;;105;108;17;49;L 3
67; 19/3/2015;;Utah Jazz;L;;73;80;17;50;L 4
68; 22/3/2015;;Philadelphia 76ers;W;;101;87;18;50;W 1
69; 24/3/2015;@;Oklahoma City Thunder;L;;117;127;18;51;L 1
70; 25/3/2015;@;Minnesota Timberwolves;W;OT;101;99;19;51;W 1
71; 27/3/2015;@;Toronto Raptors;L;;83;94;19;52;L 1
72; 29/3/2015;@;Brooklyn Nets;L;;99;107;19;53;L 2
73; 30/3/2015;@;Philadelphia 76ers;W;OT;113;111;20;53;W 1
74;1/4/2015;;New Orleans Pelicans;L;;92;113;20;54;L 1
75;3/4/2015;;Portland Trail Blazers;L;;77;107;20;55;L 2
76;5/4/2015;;Los Angeles Clippers;L;;78;106;20;56;L 3
77;7/4/2015;@;Los Angeles Clippers;L;;100;105;20;57;L 4
78;8/4/2015;@;Denver Nuggets;L;;101;119;20;58;L 5
79; 10/4/2015;;Minnesota Timberwolves;W;;106;98;21;58;W 1
80; 12/4/2015;;Dallas Mavericks;L;;106;120;21;59;L 1
81; 13/4/2015;@;Sacramento Kings;L;;92;102;21;60;L 2
82; 15/4/2015;;Sacramento Kings;L;;99;122;21;61;L 3
1;4/11/1994;@;Detroit Pistons;W;;115;98;1;0;W 1
2;5/11/1994;@;Milwaukee Bucks;L;;96;97;1;1;L 1
3;8/11/1994;@;New York Knicks;L;;113;117;1;2;L 2
4;9/11/1994;@;Minnesota Timberwolves;W;;122;99;2;2;W 1
5; 11/11/1994;;Denver Nuggets;L;OT;117;124;2;3;L 1
6; 12/11/1994;@;Golden State Warriors;L;;99;121;2;4;L 2
7; 15/11/1994;@;Los Angeles Clippers;W;;102;92;3;4;W 1
8; 16/11/1994;;New York Knicks;L;;89;110;3;5;L 1
9; 18/11/1994;;Cleveland Cavaliers;W;;82;80;4;5;W 1
10; 23/11/1994;;Dallas Mavericks;W;;118;106;5;5;W 2
11; 25/11/1994;@;Atlanta Hawks;W;;92;87;6;5;W 3
12; 26/11/1994;@;Washington Bullets;W;;112;96;7;5;W 4
13; 29/11/1994;@;New Jersey Nets;W;2OT;129;120;8;5;W 5
14; 30/11/1994;@;Cleveland Cavaliers;L;;79;117;8;6;L 1
15;2/12/1994;;Houston Rockets;W;;107;89;9;6;W 1
16;6/12/1994;;Golden State Warriors;W;;113;101;10;6;W 2
17;9/12/1994;;Los Angeles Clippers;L;;84;109;10;7;L 1
18; 10/12/1994;@;Utah Jazz;W;;120;113;11;7;W 1
19; 13/12/1994;@;Dallas Mavericks;W;;115;108;12;7;W 2
20; 15/12/1994;@;Houston Rockets;W;;97;94;13;7;W 3
21; 17/12/1994;@;San Antonio Spurs;L;;102;116;13;8;L 1
22; 20/12/1994;;Minnesota Timberwolves;W;;108;95;14;8;W 1
23; 23/12/1994;;Sacramento Kings;W;;100;89;15;8;W 2
24; 27/12/1994;@;Golden State Warriors;L;;105;129;15;9;L 1
25; 29/12/1994;;Seattle SuperSonics;W;;96;95;16;9;W 1
26; 30/12/1994;@;Phoenix Suns;W;;127;112;17;9;W 2
27;3/1/1995;;Detroit Pistons;W;;105;96;18;9;W 3
28;6/1/1995;;Milwaukee Bucks;W;;106;98;19;9;W 4
29;8/1/1995;;Miami Heat;W;;122;105;20;9;W 5
30;9/1/1995;@;Portland Trail Blazers;L;;83;129;20;10;L 1
31; 11/1/1995;;Phoenix Suns;L;;108;118;20;11;L 2
32; 13/1/1995;;Golden State Warriors;W;;115;104;21;11;W 1
33; 16/1/1995;;Los Angeles Clippers;W;;96;88;22;11;W 2
34; 18/1/1995;@;Indiana Pacers;L;;105;106;22;12;L 1
35; 20/1/1995;@;Boston Celtics;W;;120;118;23;12;W 1
36; 21/1/1995;@;Philadelphia 76ers;L;OT;113;117;23;13;L 1
37; 23/1/1995;@;Charlotte Hornets;W;;108;102;24;13;W 1
38; 25/1/1995;;New Jersey Nets;W;OT;120;116;25;13;W 2
39; 28/1/1995;@;Seattle SuperSonics;W;OT;128;121;26;13;W 3
40; 31/1/1995;;Chicago Bulls;L;;115;119;26;14;L 1
41;1/2/1995;@;Phoenix Suns;L;;109;118;26;15;L 2
42;3/2/1995;;Denver Nuggets;L;;74;88;26;16;L 3
43;4/2/1995;@;Los Angeles Clippers;W;;121;118;27;16;W 1
44;7/2/1995;@;Denver Nuggets;W;;85;83;28;16;W 2
45;8/2/1995;;San Antonio Spurs;W;;115;99;29;16;W 3
46; 15/2/1995;;Seattle SuperSonics;W;;102;96;30;16;W 4
47; 16/2/1995;@;Sacramento Kings;L;;82;98;30;17;L 1
48; 19/2/1995;;Portland Trail Blazers;W;;93;83;31;17;W 1
49; 20/2/1995;@;Seattle SuperSonics;W;;108;105;32;17;W 2
50; 22/2/1995;;Philadelphia 76ers;W;;112;100;33;17;W 3
51; 24/2/1995;;Charlotte Hornets;W;OT;95;93;34;17;W 4
52; 25/2/1995;@;Los Angeles Clippers;L;;81;83;34;18;L 1
53; 27/2/1995;;Utah Jazz;L;;95;101;34;19;L 2
54;1/3/1995;;Phoenix Suns;L;;93;101;34;20;L 3
55;3/3/1995;;Sacramento Kings;W;2OT;109;104;35;20;W 1
56;5/3/1995;;Minnesota Timberwolves;W;;105;102;36;20;W 2
57;7/3/1995;@;Miami Heat;L;;104;110;36;21;L 1
58;8/3/1995;@;Orlando Magic;L;;110;114;36;22;L 2
59; 10/3/1995;@;Minnesota Timberwolves;L;;103;109;36;23;L 3
60; 11/3/1995;@;Chicago Bulls;W;;108;105;37;23;W 1
61; 13/3/1995;;Indiana Pacers;W;;93;91;38;23;W 2
62; 15/3/1995;@;Golden State Warriors;L;;108;119;38;24;L 1
63; 17/3/1995;;Boston Celtics;L;;92;118;38;25;L 2
64; 19/3/1995;;Sacramento Kings;W;;121;116;39;25;W 1
65; 22/3/1995;;Portland Trail Blazers;W;;121;114;40;25;W 2
66; 24/3/1995;;Washington Bullets;W;;113;103;41;25;W 3
67; 26/3/1995;;Houston Rockets;W;;107;96;42;25;W 4
68; 28/3/1995;@;Houston Rockets;W;;106;96;43;25;W 5
69; 29/3/1995;@;San Antonio Spurs;L;;84;107;43;26;L 1
70; 31/3/1995;;Atlanta Hawks;W;;121;107;44;26;W 1
71;2/4/1995;;Orlando Magic;W;;119;112;45;26;W 2
72;4/4/1995;@;Denver Nuggets;W;;104;101;46;26;W 3
73;5/4/1995;@;Dallas Mavericks;L;;111;130;46;27;L 1
74;7/4/1995;;Utah Jazz;W;;113;90;47;27;W 1
75;9/4/1995;;San Antonio Spurs;L;;87;101;47;28;L 1
76; 11/4/1995;@;Utah Jazz;L;;93;100;47;29;L 2
77; 12/4/1995;@;Sacramento Kings;L;;99;109;47;30;L 3
78; 15/4/1995;@;Phoenix Suns;L;;114;119;47;31;L 4
79; 16/4/1995;;Dallas Mavericks;W;;125;111;48;31;W 1
80; 18/4/1995;;Seattle SuperSonics;L;;97;113;48;32;L 1
81; 20/4/1995;@;Portland Trail Blazers;L;;97;111;48;33;L 2
82; 22/4/1995;;Portland Trail Blazers;L;;104;109;48;34;L 3
1;28/10/2015;;Minnesota Timberwolves;L;;111;112;0;1;L 1
2;30/10/2015;@;Sacramento Kings;L;;114;132;0;2;L 2
3;01/11/2015;;Dallas Mavericks;L;;93;103;0;3;L 3
4;03/11/2015;;Denver Nuggets;L;;109;120;0;4;L 4
5;06/11/2015;@;Brooklyn Nets;W;;104;98;1;4;W 1
6;08/11/2015;@;New York Knicks;L;;95;99;1;5;L 1
7;10/11/2015;@;Miami Heat;L;;88;101;1;6;L 2
8;11/11/2015;@;Orlando Magic;L;;99;101;1;7;L 3
9;13/11/2015;@;Dallas Mavericks;L;;82;90;1;8;L 4
10;15/11/2015;;Detroit Pistons;W;;97;85;2;8;W 1
11;16/11/2015;@;Phoenix Suns;L;;101;120;2;9;L 1
12;20/11/2015;;Toronto Raptors;L;;91;102;2;10;L 2
13;22/11/2015;;Portland Trail Blazers;L;;93;107;2;11;L 3
14;24/11/2015;@;Golden State Warriors;L;;77;111;2;12;L 4
15;28/11/2015;@;Portland Trail Blazers;L;;96;108;2;13;L 5
16;29/11/2015;;Indiana Pacers;L;;103;107;2;14;L 6
17;01/12/2015;@;Philadelphia 76ers;L;;91;103;2;15;L 7
18;02/12/2015;@;Washington Wizards;W;;108;104;3;15;W 1
19;04/12/2015;@;Atlanta Hawks;L;;87;100;3;16;L 1
20;06/12/2015;@;Detroit Pistons;L;;91;111;3;17;L 2
21;07/12/2015;@;Toronto Raptors;L;;93;102;3;18;L 3
22;09/12/2015;@;Minnesota Timberwolves;L;OT;122;123;3;19;L 4
23;11/12/2015;@;San Antonio Spurs;L;;87;109;3;20;L 5
24;12/12/2015;@;Houston Rockets;L;;97;126;3;21;L 6
25;15/12/2015;;Milwaukee Bucks;W;;113;95;4;21;W 1
26;17/12/2015;;Houston Rockets;L;;87;107;4;22;L 1
27;19/12/2015;@;Oklahoma City Thunder;L;;78;118;4;23;L 2
28;22/12/2015;@;Denver Nuggets;W;;111;107;5;23;W 1
29;23/12/2015;;Oklahoma City Thunder;L;;85;120;5;24;L 1
30;25/12/2015;;Los Angeles Clippers;L;;84;94;5;25;L 2
31;27/12/2015;@;Memphis Grizzlies;L;;96;112;5;26;L 3
32;28/12/2015;@;Charlotte Hornets;L;;98;108;5;27;L 4
33;30/12/2015;@;Boston Celtics;W;;112;104;6;27;W 1
34;01/01/2016;;Philadelphia 76ers;W;;93;84;7;27;W 2
35;03/01/2016;;Phoenix Suns;W;;97;77;8;27;W 3
36;05/01/2016;;Golden State Warriors;L;;88;109;8;28;L 1
37;07/01/2016;@;Sacramento Kings;L;;115;118;8;29;L 2
38;08/01/2016;;Oklahoma City Thunder;L;;113;117;8;30;L 3
39;10/01/2016;;Utah Jazz;L;;74;86;8;31;L 4
40;12/01/2016;;New Orleans Pelicans;W;;95;91;9;31;W 1
41;14/01/2016;@;Golden State Warriors;L;;98;116;9;32;L 1
42;16/01/2016;@;Utah Jazz;L;;82;109;9;33;L 2
43;17/01/2016;;Houston Rockets;L;;95;112;9;34;L 3
44;20/01/2016;;Sacramento Kings;L;;93;112;9;35;L 4
45;22/01/2016;;San Antonio Spurs;L;;95;108;9;36;L 5
46;23/01/2016;@;Portland Trail Blazers;L;;103;121;9;37;L 6
47;26/01/2016;;Dallas Mavericks;L;;90;92;9;38;L 7
48;28/01/2016;;Chicago Bulls;L;;91;114;9;39;L 8
49;29/01/2016;@;Los Angeles Clippers;L;;93;105;9;40;L 9
50;31/01/2016;;Charlotte Hornets;L;;82;101;9;41;L 10
51;02/02/2016;;Minnesota Timberwolves;W;;119;115;10;41;W 1
52;04/02/2016;@;New Orleans Pelicans;W;;99;96;11;41;W 2
53;06/02/2016;@;San Antonio Spurs;L;;102;106;11;42;L 1
54;08/02/2016;@;Indiana Pacers;L;;87;89;11;43;L 2
55;10/02/2016;@;Cleveland Cavaliers;L;;111;120;11;44;L 3
56;19/02/2016;;San Antonio Spurs;L;;113;119;11;45;L 4
57;21/02/2016;@;Chicago Bulls;L;;115;126;11;46;L 5
58;22/02/2016;@;Milwaukee Bucks;L;;101;108;11;47;L 6
59;24/02/2016;@;Memphis Grizzlies;L;;119;128;11;48;L 7
60;26/02/2016;;Memphis Grizzlies;L;;95;112;11;49;L 8
61;01/03/2016;;Brooklyn Nets;W;;107;101;12;49;W 1
62;02/03/2016;@;Denver Nuggets;L;;107;117;12;50;L 1
63;04/03/2016;;Atlanta Hawks;L;;77;106;12;51;L 2
64;06/03/2016;;Golden State Warriors;W;;112;95;13;51;W 1
65;08/03/2016;;Orlando Magic;W;;107;98;14;51;W 2
66;10/03/2016;;Cleveland Cavaliers;L;;108;120;14;52;L 1
67;13/03/2016;;New York Knicks;L;;87;90;14;53;L 2
68;15/03/2016;;Sacramento Kings;L;;98;106;14;54;L 3
69;18/03/2016;;Phoenix Suns;L;;90;95;14;55;L 4
70;22/03/2016;;Memphis Grizzlies;W;;107;100;15;55;W 1
71;23/03/2016;@;Phoenix Suns;L;;107;119;15;56;L 1
72;25/03/2016;;Denver Nuggets;L;;105;116;15;57;L 2
73;27/03/2016;;Washington Wizards;L;;88;101;15;58;L 3
74;28/03/2016;@;Utah Jazz;L;;75;123;15;59;L 4
75;30/03/2016;;Miami Heat;W;OT;102;100;16;59;W 1
76;03/04/2016;;Boston Celtics;L;;100;107;16;60;L 1
77;05/04/2016;@;Los Angeles Clippers;L;;81;103;16;61;L 2
78;06/04/2016;;Los Angeles Clippers;L;;81;91;16;62;L 3
79;08/04/2016;@;New Orleans Pelicans;L;;102;110;16;63;L 4
80;10/04/2016;@;Houston Rockets;L;;110;130;16;64;L 5
81;11/04/2016;@;Oklahoma City Thunder;L;;79;112;16;65;L 6
82;13/04/2016;;Utah Jazz;W;;101;96;17;65;W 1
